source,rtos,app_guest,metric,log_file,run,expected,collected,missing,p50_ns,p95_ns,p99_ns,p99_9_ns,max_ns,mean_ns
qemu,rtthread,linux,timer_jitter,qemu/rtthread-linux/rtthread.log,1,10,10,0,592,32688,32688,32688,32688,7257
qemu,rtthread,linux,callback_exec,qemu/rtthread-linux/rtthread.log,1,10,10,0,128,144,144,144,144,132
qemu,rtthread,linux,timer_jitter,qemu/rtthread-linux/rtthread.log,2,10,10,0,6448,201664,201664,201664,201664,29478
qemu,rtthread,linux,callback_exec,qemu/rtthread-linux/rtthread.log,2,10,10,0,128,144,144,144,144,134
qemu,rtthread,linux,timer_jitter,qemu/rtthread-linux/rtthread.log,3,10,10,0,4896,244720,244720,244720,244720,52913
qemu,rtthread,linux,callback_exec,qemu/rtthread-linux/rtthread.log,3,10,10,0,128,144,144,144,144,131
qemu,rtthread,linux,preemption,qemu/rtthread-linux/rtthread.log,1,10,10,0,608,624,624,624,624,611
qemu,rtthread,linux,irq,qemu/rtthread-linux/rtthread.log,1,10,10,0,25312,25312,25312,25312,25312,25312
qemu,rtthread,linux,irq_to_task,qemu/rtthread-linux/rtthread.log,1,10,10,0,26912,26912,26912,26912,26912,26814
qemu,rtthread,linux,irq_disabled_duration,qemu/rtthread-linux/rtthread.log,1,10,10,0,416,416,416,416,416,416
qemu,rtthread,linux,mutex_inversion,qemu/rtthread-linux/rtthread.log,1,10,10,0,2816,2832,2832,2832,2832,2822
qemu,rtthread,linux,wake_under_load,qemu/rtthread-linux/rtthread.log,1,10,10,0,608,624,624,624,624,609
qemu,rtthread,linux,context_switch,qemu/rtthread-linux/rtthread.log,1,10,10,0,416,432,432,432,432,419
qemu,rtthread,linux,scheduler_decision,qemu/rtthread-linux/rtthread.log,1,10,10,0,128,128,128,128,128,124
qemu,rtthread,linux,sync_sem,qemu/rtthread-linux/rtthread.log,1,10,10,0,336,352,352,352,352,337
qemu,rtthread,linux,sync_mutex,qemu/rtthread-linux/rtthread.log,1,10,10,0,448,448,448,448,448,448
qemu,rtthread,linux,sync_mailbox,qemu/rtthread-linux/rtthread.log,1,10,10,0,368,368,368,368,368,363
qemu,rtthread,linux,irq_handler_exec,qemu/rtthread-linux/rtthread.log,1,10,10,0,16,32,32,32,32,17
qemu,rtthread,linux,deadline_miss_under_load,qemu/rtthread-linux/rtthread.log,1,10,10,0,16,97616,97616,97616,97616,19579
qemu,rtthread,linux,net_event_latency,qemu/rtthread-linux/rtthread.log,1,10,10,0,84096,359184,359184,359184,359184,137196
qemu,rtthread,starryos,timer_jitter,qemu/rtthread-starryos/rtthread.log,1,10,10,0,1760,493312,493312,493312,493312,99913
qemu,rtthread,starryos,callback_exec,qemu/rtthread-starryos/rtthread.log,1,10,10,0,128,144,144,144,144,136
qemu,rtthread,starryos,timer_jitter,qemu/rtthread-starryos/rtthread.log,2,10,10,0,6416,268336,268336,268336,268336,62526
qemu,rtthread,starryos,callback_exec,qemu/rtthread-starryos/rtthread.log,2,10,10,0,144,144,144,144,144,139
qemu,rtthread,starryos,timer_jitter,qemu/rtthread-starryos/rtthread.log,3,10,10,0,8768,83472,83472,83472,83472,27001
qemu,rtthread,starryos,callback_exec,qemu/rtthread-starryos/rtthread.log,3,10,10,0,128,144,144,144,144,134
qemu,rtthread,starryos,preemption,qemu/rtthread-starryos/rtthread.log,1,10,10,0,608,624,624,624,624,614
qemu,rtthread,starryos,irq,qemu/rtthread-starryos/rtthread.log,1,10,10,0,25312,38992,38992,38992,38992,26680
qemu,rtthread,starryos,irq_to_task,qemu/rtthread-starryos/rtthread.log,1,10,10,0,26912,45328,45328,45328,45328,28656
qemu,rtthread,starryos,irq_disabled_duration,qemu/rtthread-starryos/rtthread.log,1,10,10,0,416,416,416,416,416,416
qemu,rtthread,starryos,mutex_inversion,qemu/rtthread-starryos/rtthread.log,1,10,10,0,2816,2832,2832,2832,2832,2822
qemu,rtthread,starryos,wake_under_load,qemu/rtthread-starryos/rtthread.log,1,10,10,0,608,624,624,624,624,612
qemu,rtthread,starryos,context_switch,qemu/rtthread-starryos/rtthread.log,1,10,10,0,416,432,432,432,432,419
qemu,rtthread,starryos,scheduler_decision,qemu/rtthread-starryos/rtthread.log,1,10,10,0,128,128,128,128,128,124
qemu,rtthread,starryos,sync_sem,qemu/rtthread-starryos/rtthread.log,1,10,10,0,336,352,352,352,352,339
qemu,rtthread,starryos,sync_mutex,qemu/rtthread-starryos/rtthread.log,1,10,10,0,448,448,448,448,448,448
qemu,rtthread,starryos,sync_mailbox,qemu/rtthread-starryos/rtthread.log,1,10,10,0,368,368,368,368,368,363
qemu,rtthread,starryos,irq_handler_exec,qemu/rtthread-starryos/rtthread.log,1,10,10,0,32,32,32,32,32,27
qemu,rtthread,starryos,deadline_miss_under_load,qemu/rtthread-starryos/rtthread.log,1,10,10,0,0,873904,873904,873904,873904,133713
qemu,rtthread,starryos,net_event_latency,qemu/rtthread-starryos/rtthread.log,1,10,10,0,158528,639056,639056,639056,639056,281217
qemu,zephyr,linux,timer_jitter,qemu/zephyr-linux/zephyr.log,1,10,10,0,647584,1295168,1295168,1295168,1434736,662548
qemu,zephyr,linux,callback_exec,qemu/zephyr-linux/zephyr.log,1,10,10,0,16,32,32,32,32,19
qemu,zephyr,linux,preemption,qemu/zephyr-linux/zephyr.log,1,10,10,0,80,96,96,96,96,83
qemu,zephyr,linux,irq,qemu/zephyr-linux/zephyr.log,1,10,10,0,32,32,32,32,32,30
qemu,zephyr,linux,irq_to_task,qemu/zephyr-linux/zephyr.log,1,10,10,0,80,96,96,96,96,83
qemu,zephyr,linux,irq_disabled_duration,qemu/zephyr-linux/zephyr.log,1,10,10,0,32,32,32,32,32,28
qemu,zephyr,linux,mutex_inversion,qemu/zephyr-linux/zephyr.log,1,10,10,0,96,96,96,96,96,96
qemu,zephyr,linux,wake_under_load,qemu/zephyr-linux/zephyr.log,1,10,10,0,80,80,80,80,96,81
qemu,zephyr,linux,context_switch,qemu/zephyr-linux/zephyr.log,1,10,10,0,80,96,96,96,96,83
qemu,zephyr,linux,scheduler_decision,qemu/zephyr-linux/zephyr.log,1,10,10,0,80,96,96,96,96,86
qemu,zephyr,linux,sync_sem,qemu/zephyr-linux/zephyr.log,1,10,10,0,80,80,80,80,80,80
qemu,zephyr,linux,sync_mutex,qemu/zephyr-linux/zephyr.log,1,10,10,0,96,96,96,96,96,96
qemu,zephyr,linux,sync_mailbox,qemu/zephyr-linux/zephyr.log,1,10,10,0,192,192,192,192,192,188
qemu,zephyr,linux,irq_handler_exec,qemu/zephyr-linux/zephyr.log,1,10,10,0,832,832,832,832,832,825
qemu,zephyr,linux,deadline_miss_under_load,qemu/zephyr-linux/zephyr.log,1,10,10,0,95968,174672,174672,174672,203632,116238
qemu,zephyr,linux,net_event_latency,qemu/zephyr-linux/zephyr.log,1,10,10,0,118640,1098816,1098816,1098816,3559776,561192
qemu,zephyr,starryos,timer_jitter,qemu/zephyr-starryos/zephyr.log,1,10,10,0,398352,797104,797104,797104,899536,450260
qemu,zephyr,starryos,callback_exec,qemu/zephyr-starryos/zephyr.log,1,10,10,0,16,16,16,16,16,16
qemu,zephyr,starryos,preemption,qemu/zephyr-starryos/zephyr.log,1,10,10,0,80,96,96,96,96,86
qemu,zephyr,starryos,irq,qemu/zephyr-starryos/zephyr.log,1,10,10,0,32,32,32,32,32,28
qemu,zephyr,starryos,irq_to_task,qemu/zephyr-starryos/zephyr.log,1,10,10,0,80,96,96,96,96,83
qemu,zephyr,starryos,irq_disabled_duration,qemu/zephyr-starryos/zephyr.log,1,10,10,0,32,32,32,32,32,28
