source,rtos,app_guest,payload_bytes,rtt_min_ms,rtt_avg_ms,rtt_max_ms,rtt_p50_ms,rtt_p95_ms,rtt_p99_ms,rtt_p99_9_ms,throughput_kib_s,request_timeouts,protocol_errors,reconnects
qemu,rtthread,linux,64,4,61,118,4,4,4,4,1.02,0,0,0
qemu,rtthread,linux,256,12,15,18,12,12,12,12,16.67,0,0,0
qemu,rtthread,linux,1024,21,22,24,21,21,21,21,41.67,0,0,0
qemu,rtthread,starryos,64,9,11,13,9,9,9,9,5.68,0,0,0
qemu,rtthread,starryos,256,7,19,31,7,7,7,7,12.5,0,0,0
qemu,rtthread,starryos,1024,10,21,32,10,10,10,10,46.51,0,0,0
qemu,zephyr,linux,64,5,9,13,5,5,5,5,5.95,0,0,0
qemu,zephyr,linux,256,10,17,24,10,10,10,10,14.71,0,0,0
qemu,zephyr,linux,1024,16,17,19,16,16,16,16,57.14,0,0,0
qemu,zephyr,starryos,64,5,6,7,5,5,5,5,10.42,0,0,0
qemu,zephyr,starryos,256,7,17,28,7,7,7,7,14.29,0,0,0
qemu,zephyr,starryos,1024,9,14,19,9,9,9,9,68.97,0,0,0
rock4d,rtthread,linux,64,2,2,4,3,3,3,3,18.38,0,0,0
rock4d,rtthread,linux,256,2,2,4,3,3,3,3,71.43,0,0,0
rock4d,rtthread,linux,1024,3,3,4,3,4,4,4,277.78,0,0,0
rock4d,rtthread,starryos,64,5,6,11,6,7,7,7,9.33,0,0,0
rock4d,rtthread,starryos,256,6,11,47,7,8,8,8,22.32,0,0,0
rock4d,rtthread,starryos,1024,6,11,49,7,8,8,8,86.96,0,0,0
rock4d,zephyr,linux,64,6,7,8,7,8,8,8,8.33,0,0,0
rock4d,zephyr,linux,256,6,9,32,7,8,8,8,25.51,0,0,0
rock4d,zephyr,linux,1024,6,9,34,7,8,8,8,99.01,0,0,0
rock4d,zephyr,starryos,64,7,8,12,8,10,10,10,7.18,0,0,0
rock4d,zephyr,starryos,256,8,13,50,9,11,11,11,18.12,0,0,0
rock4d,zephyr,starryos,1024,7,12,50,8,10,10,10,79.37,0,0,0
