source	source_root	branch	commit	tracked	original_path	phase	type	date	date_source	size	sha256	archived_path
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/superpowers/specs/2026-08-01-axvisor-three-guest-network-design.md	task12	design	2026-08-01	filename	4843	ecf4021e1e0e319b9a156abfac415ca0cb1f2ab60e425503152fe9391acbe118	task12/design/2026-08-01/starryos-replace/docs/superpowers/specs/2026-08-01-axvisor-three-guest-network-design.md
tgoskits	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	cbf9f8b31c4844d8cf14faf5c41e3c9df3bca3d0	true	docs/superpowers/specs/2026-08-01-axvisor-three-guest-network-design.md	task12	design	2026-08-01	filename	4843	ecf4021e1e0e319b9a156abfac415ca0cb1f2ab60e425503152fe9391acbe118	task12/design/2026-08-01/tgoskits/docs/superpowers/specs/2026-08-01-axvisor-three-guest-network-design.md
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/superpowers/specs/2026-08-03-axvisor-rtos-busy-wfi-design.md	task12	design	2026-08-03	filename	9845	17aa435172bfbb88989cf360d38070b31e177ef86ef713abbbbd60a6f6ba9246	task12/design/2026-08-03/starryos-replace/docs/superpowers/specs/2026-08-03-axvisor-rtos-busy-wfi-design.md
tgoskits	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	cbf9f8b31c4844d8cf14faf5c41e3c9df3bca3d0	true	docs/superpowers/specs/2026-08-03-axvisor-rtos-busy-wfi-design.md	task12	design	2026-08-03	filename	9845	17aa435172bfbb88989cf360d38070b31e177ef86ef713abbbbd60a6f6ba9246	task12/design/2026-08-03/tgoskits/docs/superpowers/specs/2026-08-03-axvisor-rtos-busy-wfi-design.md
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/superpowers/specs/2026-08-08-axvisor-single-vcpu-tlbi-trap-design.md	task12	design	2026-08-08	filename	17079	8b45db3741ce77a94317b037316b8922c9846f6fe8df9eb86e307aab8673baa4	task12/design/2026-08-08/starryos-replace/docs/superpowers/specs/2026-08-08-axvisor-single-vcpu-tlbi-trap-design.md
tgoskits	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	cbf9f8b31c4844d8cf14faf5c41e3c9df3bca3d0	true	docs/superpowers/specs/2026-08-08-axvisor-single-vcpu-tlbi-trap-design.md	task12	design	2026-08-08	filename	17079	8b45db3741ce77a94317b037316b8922c9846f6fe8df9eb86e307aab8673baa4	task12/design/2026-08-08/tgoskits/docs/superpowers/specs/2026-08-08-axvisor-single-vcpu-tlbi-trap-design.md
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/design/axvisor-virtio-net.md	task12	design	2026-08-10	git_commit	4814	ffe15725810f718fec8ab399f2c87b604dfa4f5bce1f9f54526595a2b6c5f867	task12/design/2026-08-10/starryos-replace/docs/design/axvisor-virtio-net.md
tgoskits	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	cbf9f8b31c4844d8cf14faf5c41e3c9df3bca3d0	true	docs/design/axvisor-virtio-net.md	task12	design	2026-08-10	git_commit	4814	ffe15725810f718fec8ab399f2c87b604dfa4f5bce1f9f54526595a2b6c5f867	task12/design/2026-08-10/tgoskits/docs/design/axvisor-virtio-net.md
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/superpowers/specs/2026-08-11-rt-ipc-integration-design.md	task12	design	2026-08-11	filename	4544	19c9ac5a6e841f8a578dc917cd531d5f39fc3e1800f10fb52b3ded66df04289d	task12/design/2026-08-11/starryos-replace/docs/superpowers/specs/2026-08-11-rt-ipc-integration-design.md
tgoskits	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	cbf9f8b31c4844d8cf14faf5c41e3c9df3bca3d0	true	docs/superpowers/specs/2026-08-11-rt-ipc-integration-design.md	task12	design	2026-08-11	filename	4544	19c9ac5a6e841f8a578dc917cd531d5f39fc3e1800f10fb52b3ded66df04289d	task12/design/2026-08-11/tgoskits/docs/superpowers/specs/2026-08-11-rt-ipc-integration-design.md
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/superpowers/specs/2026-08-12-debug-code-cleanup-design.md	task12	design	2026-08-12	filename	4418	349efe85edadce670d86da89609d85474f0452dd5dec5872a850fd14f108b488	task12/design/2026-08-12/starryos-replace/docs/superpowers/specs/2026-08-12-debug-code-cleanup-design.md
tgoskits	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	cbf9f8b31c4844d8cf14faf5c41e3c9df3bca3d0	true	docs/superpowers/specs/2026-08-12-debug-code-cleanup-design.md	task12	design	2026-08-12	filename	4418	349efe85edadce670d86da89609d85474f0452dd5dec5872a850fd14f108b488	task12/design/2026-08-12/tgoskits/docs/superpowers/specs/2026-08-12-debug-code-cleanup-design.md
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/superpowers/specs/2026-08-16-debug-code-cleanup-design.md	task12	design	2026-08-16	filename	5554	06695a60ca5fb3de7b20ffb33f6237f86cc4558967a13ab54ba1957ae2101c42	task12/design/2026-08-16/starryos-replace/docs/superpowers/specs/2026-08-16-debug-code-cleanup-design.md
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/superpowers/specs/2026-08-16-rtthread-full-reproduction-document-design.md	task12	design	2026-08-16	filename	7300	f0b3b780dce582dfd59cdd44545bd402d1080e5a62ac36f39c5e107ee55f6b19	task12/design/2026-08-16/starryos-replace/docs/superpowers/specs/2026-08-16-rtthread-full-reproduction-document-design.md
tgoskits	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	cbf9f8b31c4844d8cf14faf5c41e3c9df3bca3d0	true	docs/superpowers/specs/2026-08-16-debug-code-cleanup-design.md	task12	design	2026-08-16	filename	5554	06695a60ca5fb3de7b20ffb33f6237f86cc4558967a13ab54ba1957ae2101c42	task12/design/2026-08-16/tgoskits/docs/superpowers/specs/2026-08-16-debug-code-cleanup-design.md
tgoskits	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	cbf9f8b31c4844d8cf14faf5c41e3c9df3bca3d0	true	docs/superpowers/specs/2026-08-16-rtthread-full-reproduction-document-design.md	task12	design	2026-08-16	filename	7300	f0b3b780dce582dfd59cdd44545bd402d1080e5a62ac36f39c5e107ee55f6b19	task12/design/2026-08-16/tgoskits/docs/superpowers/specs/2026-08-16-rtthread-full-reproduction-document-design.md
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/baseline-solo.log	task12	evidence	2026-08-14	git_commit	12779	73ea2915e2d097f0e2fb36442ddc4b4c67b7b298fe334b68f474c7dad40b89b7	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/baseline-solo.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/passthrough-2vcpu-preempt-fix.log	task12	evidence	2026-08-14	git_commit	245863	125d1ebc734f6400d7f67ef135cb16186d603bc5cb3544d654ef8b165b3be91e	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/passthrough-2vcpu-preempt-fix.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/passthrough-2vcpu-test.log	task12	evidence	2026-08-14	git_commit	486860	50da62a330d8809639d86d33c787b1c75c2b4a28260b3515b826fcfd71c6fe8c	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/passthrough-2vcpu-test.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v10-benchmark-run.log	task12	evidence	2026-08-14	git_commit	477046	88493c3bf6c7b494b06b08761c8ebd76a21b0c3f50713aedcac4d2fdd56b51b2	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v10-benchmark-run.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v10-final-benchmark-run.log	task12	evidence	2026-08-14	git_commit	111013	07f3612579329810a629ffb85f60d08cb9657bdf5c27022201908d59a9cba6fa	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v10-final-benchmark-run.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v11-benchmark-run.log	task12	evidence	2026-08-14	git_commit	140773	89039c4e6dd64bd3cba3e0b42941bcdb953dc773425fa3261b7a8f943652b69c	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v11-benchmark-run.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v11-benchmark-run2.log	task12	evidence	2026-08-14	git_commit	53518	671952c4d338885c90c64fdf9be60b41d88d7fd5b6257d5fd8a8d9397e5ca840	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v11-benchmark-run2.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v11-benchmark-run3.log	task12	evidence	2026-08-14	git_commit	45889	9aca72a4e867b91ef64b0295c28c19af556e69bbdd7aed1692235cf433fd97b9	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v11-benchmark-run3.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v11-full-run.log	task12	evidence	2026-08-14	git_commit	43005	b7d9dfc5c4098c126391deb33eb14445362e29402244232df06aa982259be631	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v11-full-run.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v11-rtipc-final.log	task12	evidence	2026-08-14	git_commit	45725	779d2739d503d11eb74645abb9ee8f8e4f1e1eee06a8df8875a087dd52cf560e	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v11-rtipc-final.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v11-rtipc-full.log	task12	evidence	2026-08-14	git_commit	42720	b20f79a089054a4e650c49506fb63e1bd479d76a2a8d30a8d4499988c814e1b5	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v11-rtipc-full.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v12-1cpu-test1.log	task12	evidence	2026-08-14	git_commit	40206	2e15395cc6af1b9ec3f25378fcc33a94cc46f5c1ebde142cce371c8be614dfee	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v12-1cpu-test1.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v12-connect-test1.log	task12	evidence	2026-08-14	git_commit	10602	992a91ed5818b0c4c76d423631a65a4dd5bf30133f521d9fe4ebca4650be7886	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v12-connect-test1.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v12-connect-test2.log	task12	evidence	2026-08-14	git_commit	43304	bd9bc146a3ae23d2cea23dd3f6bf720be9e5c498ee8112ec772223b1a6328aef	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v12-connect-test2.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v12-connect-test3.log	task12	evidence	2026-08-14	git_commit	10495	42cd48247cc33b4294fb5d30e1bd0a4dd3b78c34681c3d0edcd7ec2fb9129558	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v12-connect-test3.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v12-connect-test4.log	task12	evidence	2026-08-14	git_commit	173	e9f8a45dbd334338685a0a219695e68e94b79caf2727dc9f9414f2ed271783cd	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v12-connect-test4.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v12-connect-test5.log	task12	evidence	2026-08-14	git_commit	41642	ecb045bf462a024b3d595c932433e8377063b481d6b93635593b73614717a107	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v12-connect-test5.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v12-test-run.log	task12	evidence	2026-08-14	git_commit	41724	38c836599f95b541a57fdd227e7064f83481e86991d9b3edd2d45ce1d09c5225	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v12-test-run.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v12-test2.log	task12	evidence	2026-08-14	git_commit	10522	12ca4853c82a59211d413370f6b3b86be3f1cfb8bf4c58f205d8f967a82a5268	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v12-test2.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v12-test3.log	task12	evidence	2026-08-14	git_commit	31990	35d75f53a9a36c310cfe883c744fd01658a0b998f21a87c80887d5031cecdf10	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v12-test3.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v12-test4.log	task12	evidence	2026-08-14	git_commit	42009	95139e6ff3f8aae39c3a58ca96cf087525f33976d77cadca3ca0b5e3d69daf76	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v12-test4.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v12-test5.log	task12	evidence	2026-08-14	git_commit	42832	45f7087e7e652a45617c1aea1411e90584110b888f1035eaeefaec9ff441c3d1	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v12-test5.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v12-test6.log	task12	evidence	2026-08-14	git_commit	41955	afe03a8a4679311eb58e81befc9bb243b84e31ee3ca4576bffb6652308b086e7	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v12-test6.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v12-virt-test1.log	task12	evidence	2026-08-14	git_commit	43304	72fcaaf4704cb21e2fe0bd817950e1c552e9234410792badda327eef3654b2cc	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v12-virt-test1.log
starryos-replace	/home/yfblock/Code/hyper-rtos/starryos-replace	feat/starryos-task123	d7c52e8ef1941c7fcdc6cd5ca27ca58bd4698b4d	true	docs/docs/build/axvisor/v13-benchmark-run.log	task12	evidence	2026-08-14	git_commit	117960	f66dda158a0c9bd98db3627a530286f44f1b99a56f3bedfa04ac47e9c27ab8bc	task12/evidence/2026-08-14/starryos-replace/docs/docs/build/axvisor/v13-benchmark-run.log
tgoskits	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	cbf9f8b31c4844d8cf14faf5c41e3c9df3bca3d0	true	docs/docs/build/axvisor/baseline-solo.log	task12	evidence	2026-08-14	git_commit	12779	73ea2915e2d097f0e2fb36442ddc4b4c67b7b298fe334b68f474c7dad40b89b7	task12/evidence/2026-08-14/tgoskits/docs/docs/build/axvisor/baseline-solo.log
tgoskits	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	cbf9f8b31c4844d8cf14faf5c41e3c9df3bca3d0	true	docs/docs/build/axvisor/passthrough-2vcpu-preempt-fix.log	task12	evidence	2026-08-14	git_commit	245863	125d1ebc734f6400d7f67ef135cb16186d603bc5cb3544d654ef8b165b3be91e	task12/evidence/2026-08-14/tgoskits/docs/docs/build/axvisor/passthrough-2vcpu-preempt-fix.log
tgoskits	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	cbf9f8b31c4844d8cf14faf5c41e3c9df3bca3d0	true	docs/docs/build/axvisor/passthrough-2vcpu-test.log	task12	evidence	2026-08-14	git_commit	486860	50da62a330d8809639d86d33c787b1c75c2b4a28260b3515b826fcfd71c6fe8c	task12/evidence/2026-08-14/tgoskits/docs/docs/build/axvisor/passthrough-2vcpu-test.log
tgoskits	/home/yfblock/Code/hyper-rtos/tgoskits	rtthread-migration	cbf9f8b31c4844d8cf14faf5c41e3c9df3bca3d0	true	docs/docs/build/axvisor/v10-benchmark-run.log	task12	evidence	2026-08-14	git_commit	477046	88493c3bf6c7b494b06b08761c8ebd76a21b0c3f50713aedcac4d2fdd56b51b2	task12/evidence/2026-08-14/tgoskits/docs/docs/build/axvisor/v10-benchmark-run.log
