# task3_csv_schema=1
mode,frame_id,target_q15,truth_class,predicted_class,confidence_q15,inference_us,transport_retries,rtos_status,pwm,actuator_q15,rtos_processing_us,round_trip_us,error_code,duplicate,recovered
FIXED,0,0,2,2,21649,829,0,0,0,0,125,389,0,0,0
FIXED,1,1461,2,2,16624,642,0,0,0,0,126,966,0,0,0
FIXED,2,2900,2,2,32767,696,0,0,0,0,10,847,0,0,0
FIXED,3,4297,2,2,18314,621,0,0,0,0,10,825,0,0,0
FIXED,4,5632,2,2,1255,632,0,0,0,0,55,855,0,0,0
FIXED,5,6885,3,3,6864,738,0,0,0,0,73,930,0,0,0
FIXED,6,8041,3,3,20365,550,0,0,0,0,8,700,0,0,0
FIXED,7,9087,3,3,32767,775,0,0,0,0,68,628,0,0,0
FIXED,8,10011,3,3,32767,525,0,0,0,0,57,1037,0,0,0
FIXED,9,10806,3,3,32767,727,0,0,0,0,11,961,0,0,0
FIXED,10,11468,3,3,16663,622,0,0,0,0,72,946,0,0,0
FIXED,11,11994,3,3,32767,733,0,0,0,0,10,1723,0,0,0
FIXED,12,12388,3,3,32767,606,0,0,0,0,72,1134,0,0,0
FIXED,13,12656,3,3,32767,524,0,0,0,0,61,1073,0,0,0
FIXED,14,12805,3,3,32767,625,0,0,0,0,107,1003,0,0,0
FIXED,15,12847,3,3,32767,619,0,0,0,0,54,948,0,0,0
FIXED,16,12795,3,3,32767,1494,0,0,0,0,60,1118,0,0,0
FIXED,17,12665,3,3,17138,1628,0,0,0,0,82,923,0,0,0
FIXED,18,12474,3,3,23403,1502,0,0,0,0,60,1082,0,0,0
FIXED,19,12241,3,3,32767,1491,0,0,0,0,44,432,0,0,0
FIXED,20,11982,3,3,32767,619,0,0,0,0,61,1100,0,0,0
FIXED,21,11717,3,3,32767,621,0,0,0,0,54,838,0,0,0
FIXED,22,11463,3,3,32767,962,0,0,0,0,60,1165,0,0,0
FIXED,23,11236,3,3,25140,523,0,0,0,0,2,513,0,0,0
FIXED,24,11050,3,3,32767,754,0,0,0,0,10,873,0,0,0
FIXED,25,10917,3,3,24256,620,0,0,0,0,81,913,0,0,0
FIXED,26,10848,3,3,21493,525,0,0,0,0,11,879,0,0,0
FIXED,27,10848,3,3,20190,536,0,0,0,0,9,694,0,0,0
FIXED,28,10921,3,3,23687,609,0,0,0,0,11,1038,0,0,0
FIXED,29,11069,3,3,32767,730,0,0,0,0,67,619,0,0,0
FIXED,30,11288,3,3,32767,733,0,0,0,0,67,553,0,0,0
FIXED,31,11573,3,3,32767,615,0,0,0,0,5,844,0,0,0
FIXED,32,11915,3,3,32767,614,0,0,0,0,11,1061,0,0,0
FIXED,33,12302,3,3,22414,722,0,0,0,0,98,692,0,0,0
FIXED,34,12721,3,3,32767,609,0,0,0,0,52,586,0,0,0
FIXED,35,13156,3,3,31125,718,0,0,0,0,59,797,0,0,0
FIXED,36,13590,3,3,32767,730,0,0,0,0,72,947,0,0,0
FIXED,37,14004,3,3,32767,745,0,0,0,0,9,765,0,0,0
FIXED,38,14379,3,3,20973,722,0,0,0,0,82,1102,0,0,0
FIXED,39,14698,3,3,32767,706,0,0,0,0,74,915,0,0,0
FIXED,40,14941,3,3,32767,701,0,0,0,0,80,1002,0,0,0
FIXED,41,15093,3,3,32767,527,0,0,0,0,11,1067,0,0,0
FIXED,42,15138,3,3,26390,689,0,0,0,0,10,878,0,0,0
FIXED,43,15063,3,3,32767,527,0,0,0,0,47,816,0,0,0
FIXED,44,14859,3,3,32767,522,0,0,0,0,11,992,0,0,0
FIXED,45,14517,3,3,32767,694,0,0,0,0,47,952,0,0,0
FIXED,46,14033,3,3,22983,520,0,0,0,0,11,1012,0,0,0
FIXED,47,13407,3,3,22815,775,0,0,0,0,11,828,0,0,0
FIXED,48,12641,3,3,32767,524,0,0,0,0,9,1040,0,0,0
FIXED,49,11741,3,3,32767,527,0,0,0,0,9,1093,0,0,0
FIXED,50,10716,3,3,28501,523,0,0,0,0,11,884,0,0,0
FIXED,51,9578,3,3,18566,523,0,0,0,0,11,918,0,0,0
FIXED,52,8341,3,3,15006,527,0,0,0,0,9,807,0,0,0
FIXED,53,7023,3,3,16534,675,0,0,0,0,46,794,0,0,0
FIXED,54,5643,2,2,9041,678,0,0,0,0,9,874,0,0,0
FIXED,55,4222,2,2,11628,608,0,0,0,0,10,864,0,0,0
FIXED,56,2779,2,2,32268,749,0,0,0,0,8,704,0,0,0
FIXED,57,1339,2,2,13048,527,0,0,0,0,9,680,0,0,0
FIXED,58,-80,2,2,16992,602,0,0,0,0,10,1018,0,0,0
FIXED,59,-1455,2,2,27686,587,0,0,0,0,9,893,0,0,0
FIXED,60,-2768,2,2,27810,603,0,0,0,0,9,948,0,0,0
FIXED,61,-4001,2,2,13311,664,0,0,0,0,11,1024,0,0,0
FIXED,62,-5140,2,2,3211,602,0,0,0,0,9,921,0,0,0
FIXED,63,-6171,1,1,1098,997,0,0,0,0,11,1208,0,0,0
FIXED,64,-7086,1,1,7596,569,0,0,0,0,11,1077,0,0,0
FIXED,65,-7879,1,1,6665,976,0,0,0,0,8,1169,0,0,0
FIXED,66,-8545,1,1,27514,906,0,0,0,0,8,1158,0,0,0
FIXED,67,-9087,1,1,25114,706,0,0,0,0,2,425,0,0,0
FIXED,68,-9507,1,1,32767,906,0,0,0,0,9,1269,0,0,0
FIXED,69,-9813,1,1,22939,991,0,0,0,0,10,1136,0,0,0
FIXED,70,-10013,1,1,18543,597,0,0,0,0,5,757,0,0,0
FIXED,71,-10120,1,1,31427,518,0,0,0,0,4,759,0,0,0
FIXED,72,-10149,1,1,12925,597,0,0,0,0,2,586,0,0,0
FIXED,73,-10116,1,1,32767,895,0,0,0,0,11,1202,0,0,0
FIXED,74,-10037,1,1,32767,608,0,0,0,0,4,854,0,0,0
FIXED,75,-9931,1,1,15181,594,0,0,0,0,3,604,0,0,0
FIXED,76,-9815,1,1,32767,592,0,0,0,0,11,915,0,0,0
FIXED,77,-9706,1,1,32767,535,0,0,0,0,9,697,0,0,0
FIXED,78,-9622,1,1,8271,663,0,0,0,0,9,883,0,0,0
FIXED,79,-9577,1,1,25149,688,0,0,0,0,7,607,0,0,0
FIXED,80,-9584,1,1,32767,522,0,0,0,0,5,559,0,0,0
FIXED,81,-9654,1,1,20597,600,0,0,0,0,4,677,0,0,0
FIXED,82,-9793,1,1,22590,649,0,0,0,0,8,725,0,0,0
FIXED,83,-10007,1,1,13923,664,0,0,0,0,75,618,0,0,0
FIXED,84,-10298,1,1,32767,586,0,0,0,0,6,574,0,0,0
FIXED,85,-10664,1,1,19359,649,0,0,0,0,6,812,0,0,0
FIXED,86,-11101,1,1,32767,633,0,0,0,0,9,904,0,0,0
FIXED,87,-11599,1,1,22319,677,0,0,0,0,9,922,0,0,0
FIXED,88,-12150,1,1,32767,629,0,0,0,0,9,963,0,0,0
FIXED,89,-12740,1,1,32767,588,0,0,0,0,9,1016,0,0,0
FIXED,90,-13352,1,1,32767,674,0,0,0,0,3,717,0,0,0
FIXED,91,-13972,1,1,32767,692,0,0,0,0,2,631,0,0,0
FIXED,92,-14579,1,1,32767,626,0,0,0,0,44,806,0,0,0
FIXED,93,-15155,1,1,32767,624,0,0,0,0,9,788,0,0,0
FIXED,94,-15680,1,1,32767,665,0,0,0,0,10,790,0,0,0
FIXED,95,-16136,1,1,32767,651,0,0,0,0,4,438,0,0,0
FIXED,96,-16506,1,1,21077,628,0,0,0,0,9,828,0,0,0
FIXED,97,-16771,1,1,27320,522,0,0,0,0,4,523,0,0,0
FIXED,98,-16919,1,1,32767,619,0,0,0,0,9,760,0,0,0
FIXED,99,-16937,1,1,22257,526,0,0,0,0,11,934,0,0,0
FIXED,100,-16815,1,1,24136,601,0,0,0,0,10,783,0,0,0
FIXED,101,-16548,1,1,32767,619,0,0,0,0,8,875,0,0,0
FIXED,102,-16132,1,1,19376,697,0,0,0,0,8,499,0,0,0
