metric,scenario,p50_ns,p95_ns,p99_ns,p99_9_ns,max_ns,mean_ns,miss_100us,miss_500us,miss_1ms
timer_jitter,A_native,720,4352,14608,41680,180192,1449,2,0,0
timer_jitter,B_axvisor_rtthread,2688,10560,20656,143584,523424,4117,220,4,0
timer_jitter,C_axvisor_linux_rtthread,12656,244080,385888,542832,2502288,44977,13936,126,8
callback_exec,A_native,112,192,448,9408,32464,146,0,0,0
callback_exec,B_axvisor_rtthread,448,3872,5744,10720,257472,812,1,0,0
callback_exec,C_axvisor_linux_rtthread,544,720,1936,15184,371136,642,30,0,0
preemption,A_native,2176,2288,6256,12000,13216,2280,0,0,0
preemption,B_axvisor_rtthread,4400,4592,4736,6016,137472,4295,6,0,0
preemption,C_axvisor_linux_rtthread,4336,4608,5344,12640,134112,4385,11,0,0
irq,A_native,1728,1888,5808,11744,46544,1858,0,0,0
irq,B_axvisor_rtthread,80240,111936,116592,127248,388176,84022,10903,0,0
irq,C_axvisor_linux_rtthread,74784,81024,89424,118064,297632,75541,373,0,0
irq_to_task,A_native,2656,2688,3120,10576,39328,2698,0,0,0
irq_to_task,B_axvisor_rtthread,82208,274736,282704,393728,503904,101889,10491,1,0
irq_to_task,C_axvisor_linux_rtthread,78016,266144,286944,401488,537552,97576,9959,3,0
irq_disabled_duration,A_native,224,240,240,416,20144,225,0,0,0
irq_disabled_duration,B_axvisor_rtthread,224,240,320,704,227456,256,11,0,0
irq_disabled_duration,C_axvisor_linux_rtthread,224,256,320,1552,198080,248,8,0,0
mutex_inversion,A_native,5568,10976,12656,23040,49360,5759,0,0,0
mutex_inversion,B_axvisor_rtthread,11520,12816,22720,227696,402016,8510,912,0,0
mutex_inversion,C_axvisor_linux_rtthread,11280,12672,19504,231232,393216,8370,842,0,0
wake_under_load,A_native,1488,1520,1568,8000,12448,1516,0,0,0
wake_under_load,B_axvisor_rtthread,1632,1856,2960,199408,233488,2100,221,0,0
wake_under_load,C_axvisor_linux_rtthread,1568,1776,2992,188960,299216,2030,207,0,0
net_event_latency,A_native,27936,38448,79680,108160,1201248,30372,238,1,1
net_event_latency,B_axvisor_rtthread,,,,,,,,,
net_event_latency,C_axvisor_linux_rtthread,208672,420400,504944,532288,948912,262882,100000,1381,0
