metric,scenario,p50_ns,p95_ns,p99_ns,p99_9_ns,max_ns,mean_ns,miss_100us,miss_500us,miss_1ms
timer_jitter,A_native,1408,41632,41632,41632,41632,5401,0,0,0
timer_jitter,B_axvisor_rtthread,3632,16224,16224,16224,16224,5478,0,0,0
timer_jitter,C_axvisor_linux_rtthread,6368,85808,85808,85808,85808,22900,0,0,0
callback_exec,A_native,96,35072,35072,35072,35072,3604,0,0,0
callback_exec,B_axvisor_rtthread,512,41024,41024,41024,41024,4622,0,0,0
callback_exec,C_axvisor_linux_rtthread,656,41728,41728,41728,41728,5089,0,0,0
preemption,A_native,1712,8240,8240,8240,8240,2544,0,0,0
preemption,B_axvisor_rtthread,4112,12768,12768,12768,12768,4888,0,0,0
preemption,C_axvisor_linux_rtthread,4512,12096,12096,12096,12096,5360,0,0,0
irq,A_native,1424,41456,41456,41456,41456,5472,0,0,0
irq,B_axvisor_rtthread,81296,363712,363712,363712,363712,113345,2,0,0
irq,C_axvisor_linux_rtthread,77264,240064,240064,240064,240064,94628,1,0,0
irq_to_task,A_native,2480,18640,18640,18640,18640,4163,0,0,0
irq_to_task,B_axvisor_rtthread,81808,276976,276976,276976,276976,106838,2,0,0
irq_to_task,C_axvisor_linux_rtthread,78400,262048,262048,262048,262048,100747,2,0,0
irq_disabled_duration,A_native,240,16736,16736,16736,16736,1899,0,0,0
irq_disabled_duration,B_axvisor_rtthread,368,19872,19872,19872,19872,2342,0,0,0
irq_disabled_duration,C_axvisor_linux_rtthread,240,19824,19824,19824,19824,2254,0,0,0
mutex_inversion,A_native,6336,18976,18976,18976,18976,7736,0,0,0
mutex_inversion,B_axvisor_rtthread,7296,22928,22928,22928,22928,8900,0,0,0
mutex_inversion,C_axvisor_linux_rtthread,656,40880,40880,40880,40880,10406,0,0,0
wake_under_load,A_native,1440,7056,7056,7056,7056,2001,0,0,0
wake_under_load,B_axvisor_rtthread,1520,7616,7616,7616,7616,2137,0,0,0
wake_under_load,C_axvisor_linux_rtthread,1696,8672,8672,8672,8672,2480,0,0,0
net_event_latency,A_native,25136,60816,60816,60816,60816,29464,0,0,0
net_event_latency,B_axvisor_rtthread,,,,,,,,,
net_event_latency,C_axvisor_linux_rtthread,212752,379120,379120,379120,379120,228908,10,0,0
