metric,scenario,p50_ns,p95_ns,p99_ns,p99_9_ns,max_ns,mean_ns,miss_100us,miss_500us,miss_1ms
timer_jitter,A_native,400,2208,8848,32768,117904,795,2,0,0
timer_jitter,B_axvisor_rtthread,2720,12128,19200,141568,520032,4387,255,2,0
timer_jitter,C_axvisor_linux_rtthread,84416,347840,403264,439680,738784,124586,47112,17,0
callback_exec,A_native,112,144,448,9344,35168,149,0,0,0
callback_exec,B_axvisor_rtthread,432,480,608,2496,126192,442,1,0,0
callback_exec,C_axvisor_linux_rtthread,528,688,2416,10240,169696,623,27,0,0
preemption,A_native,1904,2016,5648,11520,25792,2002,0,0,0
preemption,B_axvisor_rtthread,5008,5280,5456,7600,135408,4879,17,0,0
preemption,C_axvisor_linux_rtthread,5056,5280,5632,7920,128816,5073,16,0,0
irq,A_native,1648,2256,7936,11328,43840,1859,0,0,0
irq,B_axvisor_rtthread,80464,84352,85936,121424,267360,80892,330,0,0
irq,C_axvisor_linux_rtthread,75872,77472,79600,110544,248704,75860,354,0,0
irq_to_task,A_native,2432,2464,2832,7024,25648,2459,0,0,0
irq_to_task,B_axvisor_rtthread,83568,274496,280512,297232,439072,104042,11539,0,0
irq_to_task,C_axvisor_linux_rtthread,78528,263664,273584,286848,486064,96507,10051,0,0
irq_disabled_duration,A_native,224,240,240,560,21648,225,0,0,0
irq_disabled_duration,B_axvisor_rtthread,224,240,304,1104,204016,252,10,0,0
irq_disabled_duration,C_axvisor_linux_rtthread,224,240,320,496,202864,242,5,0,0
mutex_inversion,A_native,5392,10688,11824,17488,234896,5595,1,0,0
mutex_inversion,B_axvisor_rtthread,7616,12528,21472,224032,343312,8215,896,0,0
mutex_inversion,C_axvisor_linux_rtthread,10928,12384,21792,221216,438304,8126,884,0,0
wake_under_load,A_native,1440,1472,1488,5488,13328,1454,0,0,0
wake_under_load,B_axvisor_rtthread,1648,1888,3008,197248,232160,2081,207,0,0
wake_under_load,C_axvisor_linux_rtthread,1600,1760,2912,194640,215632,2058,226,0,0
