metric,scenario,p50_ns,p95_ns,p99_ns,p99_9_ns,max_ns,mean_ns,miss_100us,miss_500us,miss_1ms
timer_jitter,A_native,448,2976,11168,36624,177184,1029,5,0,0
timer_jitter,B_axvisor_rtthread,3264,12720,19776,140288,1905136,4756,165,1,1
timer_jitter,C_axvisor_linux_rtthread,56528,375776,442512,493472,816576,109290,36960,45,0
callback_exec,A_native,112,176,496,9552,38960,173,0,0,0
callback_exec,B_axvisor_rtthread,432,512,672,4272,129888,453,3,0,0
callback_exec,C_axvisor_linux_rtthread,512,704,2576,15104,253120,650,45,0,0
preemption,A_native,1952,2048,4272,11872,15024,2038,0,0,0
preemption,B_axvisor_rtthread,5136,5344,5536,7312,133376,4977,13,0,0
preemption,C_axvisor_linux_rtthread,5104,5344,5792,118160,133424,5285,153,0,0
irq,A_native,1680,1744,3552,11616,44448,1759,0,0,0
irq,B_axvisor_rtthread,81392,83952,85504,120384,410944,81759,288,0,0
irq,C_axvisor_linux_rtthread,76672,106160,111488,128224,251328,79773,10197,0,0
irq_to_task,A_native,2416,2432,2816,9632,27936,2441,0,0,0
irq_to_task,B_axvisor_rtthread,85616,281424,287584,301600,461200,106776,11436,0,0
irq_to_task,C_axvisor_linux_rtthread,79872,264464,273088,376080,424752,98165,9721,0,0
irq_disabled_duration,A_native,224,240,240,432,20320,228,0,0,0
irq_disabled_duration,B_axvisor_rtthread,224,256,336,1088,254592,263,14,0,0
irq_disabled_duration,C_axvisor_linux_rtthread,224,256,320,1616,189648,256,11,0,0
mutex_inversion,A_native,5040,10816,12208,22112,233632,5687,1,0,0
mutex_inversion,B_axvisor_rtthread,7664,12688,22800,232256,380240,8425,924,0,0
mutex_inversion,C_axvisor_linux_rtthread,11168,12768,22288,216096,360112,8273,886,0,0
wake_under_load,A_native,1488,1520,1536,7984,11760,1504,0,0,0
wake_under_load,B_axvisor_rtthread,1680,1904,3072,204960,251872,2172,231,0,0
wake_under_load,C_axvisor_linux_rtthread,1664,1888,3072,190016,301696,2118,223,0,0
