metric,scenario,p50_ns,p95_ns,p99_ns,p99_9_ns,max_ns,mean_ns,miss_100us,miss_500us,miss_1ms
timer_jitter,A_native,656,5376,26320,47152,50080,1616,0,0,0
timer_jitter,B_axvisor_rtthread,3856,18976,153232,232688,276752,8748,22,0,0
timer_jitter,C_axvisor_linux_rtthread,3520,13008,24304,564864,605136,6248,4,2,0
callback_exec,A_native,96,432,768,8576,89744,243,0,0,0
callback_exec,B_axvisor_rtthread,496,4912,10640,12240,46352,1598,0,0,0
callback_exec,C_axvisor_linux_rtthread,448,624,784,3872,46432,522,0,0,0
preemption,A_native,2160,2448,6304,9824,13152,2295,0,0,0
preemption,B_axvisor_rtthread,4544,4752,4960,15728,135712,4517,1,0,0
preemption,C_axvisor_linux_rtthread,4736,5216,5472,6416,12384,4623,0,0,0
irq,A_native,1664,2496,11008,11808,55600,1920,0,0,0
irq,B_axvisor_rtthread,77872,80176,81840,101136,270144,78190,2,0,0
irq,C_axvisor_linux_rtthread,74928,77824,82752,110800,246144,75478,5,0,0
irq_to_task,A_native,3344,3392,4176,11136,31168,3408,0,0,0
irq_to_task,B_axvisor_rtthread,80800,294144,304256,325584,357168,101333,95,0,0
irq_to_task,C_axvisor_linux_rtthread,77168,275040,282736,292592,296864,95509,91,0,0
irq_disabled_duration,A_native,288,304,320,2272,22000,314,0,0,0
irq_disabled_duration,B_axvisor_rtthread,224,240,368,20880,227920,484,1,0,0
irq_disabled_duration,C_axvisor_linux_rtthread,240,304,352,416,20144,270,0,0,0
mutex_inversion,A_native,12224,14304,19776,30784,39392,7566,0,0,0
mutex_inversion,B_axvisor_rtthread,1776,11568,18144,271920,272704,7789,7,0,0
mutex_inversion,C_axvisor_linux_rtthread,7216,13184,224320,239712,262880,9400,13,0,0
wake_under_load,A_native,1888,1920,2976,8112,9152,1940,0,0,0
wake_under_load,B_axvisor_rtthread,1472,1728,3072,234656,250432,2469,4,0,0
wake_under_load,C_axvisor_linux_rtthread,1472,2240,4976,1442992,1652368,5856,4,3,2
net_event_latency,A_native,39152,49120,57760,94384,109968,40709,1,0,0
net_event_latency,B_axvisor_rtthread,,,,,,,,,
net_event_latency,C_axvisor_linux_rtthread,1369424,2322976,2461776,2919920,4692128,1409484,1000,884,660
