metric,scenario,p50_ns,p95_ns,p99_ns,p99_9_ns,max_ns,mean_ns,miss_100us,miss_500us,miss_1ms
timer_jitter,A_native,592,3744,23968,44384,47808,1442,0,0,0
timer_jitter,B_axvisor_rtthread,3856,49216,229696,371344,389440,15115,41,0,0
timer_jitter,C_axvisor_linux_rtthread,4544,16864,52608,328864,353520,6987,4,0,0
callback_exec,A_native,96,192,1664,8768,32944,182,0,0,0
callback_exec,B_axvisor_rtthread,656,928,1312,2720,41376,698,0,0,0
callback_exec,C_axvisor_linux_rtthread,544,976,1376,5920,44192,678,0,0,0
preemption,A_native,2064,2496,4480,11744,15808,2189,0,0,0
preemption,B_axvisor_rtthread,4192,4928,12384,14512,14960,4332,0,0,0
preemption,C_axvisor_linux_rtthread,4224,4768,6992,1039920,1040656,7553,6,4,2
irq,A_native,1712,5136,11280,11568,56656,2295,0,0,0
irq,B_axvisor_rtthread,77472,80240,83888,206736,262560,78103,2,0,0
irq,C_axvisor_linux_rtthread,75440,95616,288368,410528,1529360,85235,48,1,1
irq_to_task,A_native,3040,3104,4896,9792,33104,3131,0,0,0
irq_to_task,B_axvisor_rtthread,80400,289424,301264,355056,359184,100256,92,0,0
irq_to_task,C_axvisor_linux_rtthread,76720,285776,919040,968256,1544784,120164,113,43,1
irq_disabled_duration,A_native,288,304,304,2800,23792,311,0,0,0
irq_disabled_duration,B_axvisor_rtthread,224,240,336,27168,229088,484,1,0,0
irq_disabled_duration,C_axvisor_linux_rtthread,224,240,240,2304,21456,250,0,0,0
mutex_inversion,A_native,8128,13520,15072,28224,33968,7168,0,0,0
mutex_inversion,B_axvisor_rtthread,11328,11888,47984,264336,276080,8445,10,0,0
mutex_inversion,C_axvisor_linux_rtthread,11312,13920,247296,1649584,1722688,20322,19,9,6
wake_under_load,A_native,1696,1728,1760,11824,19856,1744,0,0,0
wake_under_load,B_axvisor_rtthread,1552,1776,2656,219392,231664,2258,3,0,0
wake_under_load,C_axvisor_linux_rtthread,1536,1968,3296,7920,199312,1809,1,0,0
net_event_latency,A_native,29232,43376,79904,113296,137824,31369,2,0,0
net_event_latency,B_axvisor_rtthread,,,,,,,,,
net_event_latency,C_axvisor_linux_rtthread,854688,1722720,1907680,1977328,1978272,808486,1000,762,162
