metric,scenario,p50_ns,p95_ns,p99_ns,p99_9_ns,max_ns,mean_ns,miss_100us,miss_500us,miss_1ms
timer_jitter,A_native,576,4528,12240,38096,242096,1302,4,0,0
timer_jitter,B_axvisor_rtthread,3184,15536,26576,150864,585232,5257,245,2,0
timer_jitter,C_axvisor_linux_rtthread,99424,403920,441824,548576,905040,144843,49920,149,0
callback_exec,A_native,112,192,448,9392,36976,150,0,0,0
callback_exec,B_axvisor_rtthread,432,496,608,2272,149904,440,3,0,0
callback_exec,C_axvisor_linux_rtthread,528,736,1920,5792,173072,641,43,0,0
preemption,A_native,1872,4352,8240,11392,16640,2152,0,0,0
preemption,B_axvisor_rtthread,4864,5056,5280,7456,147152,4730,12,0,0
preemption,C_axvisor_linux_rtthread,5104,5360,5648,7872,139840,5121,13,0,0
irq,A_native,1648,2016,6144,11392,49552,1809,0,0,0
irq,B_axvisor_rtthread,77472,81392,83136,116944,276176,78011,252,0,0
irq,C_axvisor_linux_rtthread,75696,78976,84064,113088,294528,76082,283,0,0
irq_to_task,A_native,2304,2336,2704,7088,33840,2330,0,0,0
irq_to_task,B_axvisor_rtthread,79872,286608,305744,332752,883840,100602,9553,21,0
irq_to_task,C_axvisor_linux_rtthread,79920,281152,289088,421424,781776,99203,9789,83,0
irq_disabled_duration,A_native,224,240,240,400,20112,224,0,0,0
irq_disabled_duration,B_axvisor_rtthread,240,256,320,1360,234320,255,8,0,0
irq_disabled_duration,C_axvisor_linux_rtthread,224,256,368,1776,212240,248,5,0,0
mutex_inversion,A_native,5328,10512,11760,18384,51040,5517,0,0,0
mutex_inversion,B_axvisor_rtthread,10912,12400,18384,247152,394320,8257,806,0,0
mutex_inversion,C_axvisor_linux_rtthread,9264,13216,22752,242912,1035504,8740,872,6,2
wake_under_load,A_native,1328,1360,1392,5392,41152,1341,0,0,0
wake_under_load,B_axvisor_rtthread,1520,1792,3088,217792,251536,1978,193,0,0
wake_under_load,C_axvisor_linux_rtthread,1632,1984,3232,215312,429984,2130,206,0,0
net_event_latency,A_native,38544,52720,99200,131376,199776,41455,974,0,0
net_event_latency,B_axvisor_rtthread,,,,,,,,,
net_event_latency,C_axvisor_linux_rtthread,809232,919360,939536,1030368,1786752,777237,100000,95032,155
