iteration,revision,timer_mode,workload,vcpu_pcpu,clock_hz,sleep_100ms_returned,sleep_elapsed_ms,callbacks,expected_callbacks,p50_us,p95_us,p99_us,p99_9_us,max_us,miss_gt100us,miss_gt500us,miss_gt1ms,timeout_s,evidence,phase_min_ns,phase_avg_ns,phase_p50_ns,phase_p95_ns,phase_p99_ns,phase_p99_9_ns,phase_max_ns,interval_min_ns,interval_avg_abs_ns,interval_max_abs_ns,qemu_config,network_validation,p99_99_ns,callback_duration_max_ns,tick_gap_min,tick_gap_max,candidate_decision
0,baseline,passthrough,three_guest_network_polling,2,62500000,false,NA,0,10000,NA,NA,NA,NA,NA,NA,NA,NA,35,/tmp/axvisor-rt-probe.log;/tmp/axvisor-rt-bench.log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,not_run,NA,,NA,,
1,group1-diagnostic,passthrough,single_guest_no_network,2,62500000,true,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,/tmp/axvisor-rt-probe-group1.log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,not_run,NA,,NA,,
2,config-armv8-a-ns,passthrough,single_guest_no_network,2,62500000,true,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,/tmp/axvisor-rt-probe-ns.log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,not_run,NA,,NA,,
3,armv8-a-ns-fixed,passthrough,single_guest_idle,2,62500000,true,NA,9999,9999,0,0,0,0,0,0,0,0,45,/tmp/axvisor-rt-bench-fixed-idle-load-2.log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,not_run,NA,,NA,,
4,armv8-a-ns-fixed,passthrough,single_guest_low_prio_load,2,62500000,true,NA,9999,9999,0,0,0,0,0,0,0,0,45,/tmp/axvisor-rt-bench-fixed-idle-load-2.log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,not_run,NA,,NA,,
5,armv8-a-ns-fixed-net-r1,passthrough,three_guest_network_polling,2,62500000,NA,NA,9999,9999,0,0,0,18,1984,10,4,2,125,/tmp/axvisor-three-guest-rtbench-1000hz.log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,pass,NA,,NA,,
6,armv8-a-ns-fixed-net-r2,passthrough,three_guest_network_polling,2,62500000,NA,NA,9999,9999,0,0,0,0,1021,3,1,1,80,/tmp/axvisor-three-guest-rtbench-1000hz-r2.log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,pass,NA,,NA,,
7,armv8-a-ns-fixed-net-r3,passthrough,three_guest_network_polling,2,62500000,NA,NA,9999,9999,0,0,0,0,1550,2,2,1,80,/tmp/axvisor-three-guest-rtbench-1000hz-r3.log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,pass,NA,,NA,,
8,logoff-sleep-r1,passthrough,three_guest_network_sleep_1ms,2,62500000,NA,NA,9999,9999,0,0,0,0,1231,3,1,1,50,/tmp/axvisor-three-guest-rtbench-logoff-sleep-r1.log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,pass,NA,,NA,,
9,logoff-sleep-r2,passthrough,three_guest_network_sleep_1ms,2,62500000,NA,NA,9999,9999,0,0,0,0,1009,2,2,1,50,/tmp/axvisor-three-guest-rtbench-logoff-sleep-r2.log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,pass,NA,,NA,,
10,logoff-sleep-r3,passthrough,three_guest_network_sleep_1ms,2,62500000,NA,NA,9999,9999,0,0,0,0,1513,3,2,1,50,/tmp/axvisor-three-guest-rtbench-logoff-sleep-r3.log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,default,pass,NA,,NA,,
